school_id,name,division,conference,conf_tier,2022_W,2022_L,2022_D,2023_W,2023_L,2023_D,2024_W,2024_L,2024_D,2025_W,2025_L,2025_D,2022_ps,2023_ps,2024_ps,2025_ps
air_force,Air Force,D1,Mountain West,d1t3,8,6,3,1,14,2,1,15,1,1,13,3,,,,
akron,Akron,D1,Big East,d1t2,11,4,5,9,2,7,12,5,4,13,5,3,r16,,r32,r16
albany,Albany,D1,America East,d1t3,6,8,6,5,11,1,4,12,2,5,6,6,,,,
american,American,D1,Patriot League,d1t3,8,7,5,6,5,5,5,5,9,8,8,2,,,,
army_west_point,Army West Point,D1,Patriot League,d1t3,8,4,5,3,9,4,4,11,2,7,6,5,,,,
bellarmine,Bellarmine,D1,ASUN,d1t3,6,4,8,6,5,6,5,6,5,8,4,5,,,,
belmont,Belmont,D1,MVC,d1t3,7,4,7,5,8,4,5,8,4,8,3,6,,,,
binghamton,Binghamton,D1,America East,d1t3,6,9,4,5,10,3,8,7,4,4,13,0,,,,
boston_college,Boston College,D1,ACC,d1t1,4,7,5,3,9,5,6,5,6,7,9,1,,,,
boston_university,Boston University,D1,Patriot League,d1t3,6,5,7,12,4,4,4,4,10,10,8,0,,r32,,
bowling_green,Bowling Green,D1,MVC,d1t3,6,5,5,10,5,2,12,6,2,5,8,4,,,,
bradley,Bradley,D1,MVC,d1t3,5,11,3,4,8,4,4,8,4,2,9,6,,,,
brown,Brown,D1,Ivy League,d1t3,8,6,3,5,5,8,8,8,1,6,7,2,,,,
bryant,Bryant,D1,America East,d1t3,3,10,1,16,2,2,10,6,4,17,2,3,,r32,,r32
bucknell,Bucknell,D1,Patriot League,d1t3,3,12,2,2,10,4,7,7,6,9,4,5,,,appearance,
butler,Butler,D1,Big East,d1t2,10,6,3,2,7,6,4,10,3,5,10,2,,,,
cal_poly,Cal Poly,D1,Pac-12,d1t3,2,11,4,5,8,4,7,4,8,9,6,5,,,,
cal_state_bakersfield,Cal State Bakersfield,D1,Big West,d1t3,2,13,2,7,5,5,7,6,4,3,11,3,,,,
cal_state_fullerton,Cal State Fullerton,D1,Big West,d1t3,8,6,5,12,5,3,7,6,7,8,6,6,,,,
csun,CSUN,D1,Big West,d1t3,9,6,4,4,6,8,2,8,7,6,6,6,,,,
california,California,D1,Pac-12,d1t3,3,8,6,7,6,5,8,8,2,8,8,2,,,,
california_baptist,California Baptist,D1,Pac-12,d1t3,11,7,3,10,6,4,6,8,5,10,4,3,r32,r16,,
campbell,Campbell,D1,CAA,d1t3,11,4,5,4,6,4,8,6,4,10,6,4,,,,
canisius,Canisius,D1,MAAC,d1t3,1,10,6,2,11,5,4,8,4,5,10,1,,,,
central_arkansas,Central Arkansas,D1,ASUN,d1t3,6,5,6,4,9,4,8,7,3,4,10,2,,,,
central_connecticut,Central Connecticut,D1,NEC,d1t4,3,11,1,3,9,3,1,14,1,1,14,2,,,,
charleston,Charleston,D1,CAA,d1t3,5,7,5,6,6,5,10,6,2,6,8,3,,,,
charlotte,Charlotte,D1,ASUN,d1t3,9,5,2,13,4,1,11,3,5,8,4,4,,r16,appearance,
chicago_state,Chicago State,D1,NEC,d1t4,1,13,3,5,10,4,3,11,1,1,15,1,,,,
clemson,Clemson,D1,ACC,d1t1,13,7,1,15,3,5,15,3,4,8,6,3,r32,champion,r32,appearance
cleveland_state,Cleveland State,D1,Horizon League,d1t3,11,4,5,3,9,5,7,7,3,9,4,6,r32,,,appearance
coastal_carolina,Coastal Carolina,D1,Sun Belt,d1t3,5,5,6,3,9,3,3,10,3,3,9,2,,,,
colgate,Colgate,D1,Patriot League,d1t3,7,4,7,8,10,2,8,9,3,5,7,5,,,,
columbia,Columbia,D1,Ivy League,d1t3,1,9,6,2,8,4,1,12,1,3,8,4,,,,
cornell,Cornell,D1,Ivy League,d1t3,14,4,1,8,4,3,13,4,2,14,4,2,r16,,r32,r32
creighton,Creighton,D1,Big East,d1t2,13,5,6,4,7,6,9,6,3,8,4,4,final,,,
dartmouth,Dartmouth,D1,Ivy League,d1t3,6,7,3,4,8,3,5,8,3,3,8,3,,,,
davidson,Davidson,D1,Atlantic 10,d1t3,6,8,3,10,5,1,6,7,5,9,7,3,,,,
dayton,Dayton,D1,Atlantic 10,d1t3,10,2,5,8,7,6,14,3,3,8,2,8,,r32,r32,
depaul,DePaul,D1,Big East,d1t2,4,6,7,3,7,5,6,8,3,2,8,7,,,,
delaware,Delaware,D1,Summit League,d1t4,4,11,2,9,4,6,7,7,2,12,2,3,,,,
denver,Denver,D1,WCC,d1t2,14,3,5,12,3,5,15,3,5,12,7,3,r16,quarter,quarter,r32
