school_id,name,division,conference,conf_tier,2022_W,2022_L,2022_D,2023_W,2023_L,2023_D,2024_W,2024_L,2024_D,2025_W,2025_L,2025_D,2022_ps,2023_ps,2024_ps,2025_ps
abilene_christian,Abilene Christian,D1,UAC,d1t4,4,10,4,7,9,2,2,7,8,6,11,3,,,,
air_force,Air Force,D1,Mountain West,d1t3,7,7,4,6,9,3,5,10,3,8,7,4,,,,
akron,Akron,D1,MAC,d1t3,3,9,4,3,14,1,5,9,4,5,9,4,,,,
alabama,Alabama,D1,SEC,d1t1,23,3,1,12,5,5,10,6,5,11,9,2,semi,r32,,r32
alabama_a_m,Alabama A&M,D1,SWAC,d1t4,4,12,2,,,,7,11,1,9,9,1,,,,
alabama_state,Alabama State,D1,SWAC,d1t4,6,8,4,2,12,3,5,8,3,2,17,1,,,,
albany,Albany,D1,America East,d1t3,7,8,5,4,10,2,3,12,1,2,13,2,,,,
alcorn_state,Alcorn State,D1,SWAC,d1t4,5,9,4,5,11,1,,,,5,8,4,,,,
american,American,D1,Patriot,d1t3,3,6,6,3,9,4,6,6,3,3,10,4,,,,
appalachian_state,Appalachian State,D1,Sun Belt,d1t3,6,9,4,9,6,3,7,7,5,7,7,3,,,,
arizona,Arizona,D1,Big 12,d1t1,8,7,3,6,8,5,11,6,2,7,11,1,,,,
arizona_state,Arizona State,D1,Big 12,d1t1,9,6,3,10,7,4,8,8,3,10,5,4,appearance,appearance,,
arkansas,Arkansas,D1,SEC,d1t1,11,3,3,12,3,2,13,1,2,10,6,4,quarter,r32,r16,r32
arkansas_state,Arkansas State,D1,Sun Belt,d1t3,9,6,3,4,8,4,4,6,6,4,7,4,,,,
arkansas_pine_bluff,Arkansas-Pine Bluff,D1,SWAC,d1t4,9,10,1,9,11,1,1,12,2,,,,,,,
army,Army,D1,Patriot,d1t3,9,4,7,10,6,4,12,6,1,14,6,2,,,,appearance
auburn,Auburn,D1,SEC,d1t1,6,6,6,8,7,5,13,4,4,,,,,,r32,
austin_peay,Austin Peay,D1,UAC,d1t4,3,9,6,5,11,5,7,6,6,0,11,7,,,,
byu,BYU,D1,Big 12,d1t1,11,3,7,20,3,3,9,7,5,11,7,6,r16,semi,appearance,r16
ball_state,Ball State,D1,MAC,d1t3,7,5,8,8,8,3,7,8,3,10,7,3,,,,
baylor,Baylor,D1,Big 12,d1t1,4,11,2,9,7,3,8,8,5,14,5,4,,,,r16
bellarmine,Bellarmine,D1,ASUN,d1t3,1,7,9,4,9,5,5,12,3,11,6,3,,,,
belmont,Belmont,D1,Missouri Valley,d1t3,5,6,6,3,9,7,9,10,2,4,6,7,,,,
binghamton,Binghamton,D1,America East,d1t3,9,5,5,6,5,6,7,6,5,10,2,5,,,,
boise_state,Boise State,D1,Pac-12,d1t3,8,5,7,11,4,6,16,4,2,10,3,8,,,,
boston_college,Boston College,D1,ACC,d1t1,5,8,5,3,9,6,12,5,2,5,8,5,,,,
boston_university,Boston University,D1,Patriot,d1t3,11,8,1,7,7,6,6,8,7,11,5,3,,,appearance,
bowling_green,Bowling Green,D1,MAC,d1t3,9,5,5,10,6,2,7,7,4,10,3,9,,,,
brown,Brown,D1,Ivy League,d1t3,13,2,3,12,3,2,7,5,5,9,4,4,r32,r32,,
bryant,Bryant,D1,America East,d1t3,3,10,4,7,5,4,5,9,4,5,5,8,,,,
bucknell,Bucknell,D1,Patriot,d1t3,8,6,6,12,4,5,12,4,3,3,9,6,appearance,appearance,,
buffalo,Buffalo,D1,MAC,d1t3,15,2,4,7,5,6,11,2,7,12,5,2,appearance,,,
butler,Butler,D1,Big East,d1t2,7,7,5,6,8,6,10,4,5,5,4,8,,,,
cal_poly,Cal Poly,D1,Big West,d1t3,9,7,3,10,8,3,5,11,3,10,3,9,,,,appearance
cal_state_bakersfield,Cal State Bakersfield,D1,Big West,d1t3,4,8,6,3,10,4,8,10,5,8,9,2,,,,
cal_state_fullerton,Cal State Fullerton,D1,Big West,d1t3,9,6,5,8,5,7,6,9,4,14,3,3,,,,
cal_state_northridge,Cal State Northridge,D1,Big West,d1t3,3,15,1,1,13,5,5,11,3,8,7,5,,,,
california,California,D1,ACC,d1t1,10,5,6,7,6,6,13,6,2,8,3,8,appearance,,r32,
california_baptist,California Baptist,D1,Big West,d1t3,8,5,5,11,2,6,10,7,3,10,9,4,,,appearance,appearance
campbell,Campbell,D1,CAA,d1t3,11,3,4,4,6,7,6,9,3,4,7,5,,,,
canisius,Canisius,D1,Metro,d1t3,5,5,10,9,4,5,12,4,3,8,8,3,,,,
central_arkansas,Central Arkansas,D1,UAC,d1t4,6,9,4,8,7,5,9,7,2,6,9,2,,,,
central_connecticut,Central Connecticut,D1,NEC,d1t4,9,5,2,9,4,4,5,10,2,7,6,5,,appearance,,
central_michigan,Central Michigan,D1,MAC,d1t3,2,11,5,2,8,6,5,8,5,1,14,3,,,,
charleston,Charleston,D1,CAA,d1t3,8,7,3,2,10,5,11,4,5,8,6,3,,,,
charleston_southern,Charleston Southern,D1,Big South,d1t3,5,8,4,9,5,4,5,7,3,6,8,4,,,,
charlotte,Charlotte,D1,American,d1t2,4,11,4,9,7,4,4,8,7,10,6,2,,,,
chattanooga,Chattanooga,D1,Southern,d1t3,8,5,5,10,7,1,7,9,3,10,5,4,,,,
chicago_state,Chicago State,D1,NEC,d1t4,3,14,1,1,17,1,1,13,2,5,9,5,,,,
cincinnati,Cincinnati,D1,Big 12,d1t1,7,3,7,4,8,7,6,9,4,5,8,6,,,,
clemson,Clemson,D1,ACC,d1t1,8,5,5,18,4,4,6,8,3,8,6,5,appearance,semi,,r32
cleveland_state,Cleveland State,D1,Horizon,d1t3,7,6,4,4,10,3,2,14,1,4,6,7,,,,
coastal_carolina,Coastal Carolina,D1,Sun Belt,d1t3,3,10,4,3,12,2,8,7,6,3,5,8,,,,
colgate,Colgate,D1,Patriot,d1t3,3,10,4,5,13,2,5,10,4,9,6,4,,,,
colorado,Colorado,D1,Big 12,d1t1,8,7,5,13,5,3,12,5,5,17,4,3,,appearance,r32,r16
colorado_college,Colorado College,D1,Mountain West,d1t3,7,7,5,3,13,2,8,9,3,5,6,7,,,,
colorado_state,Colorado State,D1,Pac-12,d1t3,4,7,8,12,6,4,12,5,4,10,4,5,,,,
columbia,Columbia,D1,Ivy League,d1t3,7,5,3,11,5,3,7,5,4,6,7,3,,r32,,
cornell,Cornell,D1,Ivy League,d1t3,4,7,5,4,5,6,3,9,4,5,7,4,,,,
creighton,Creighton,D1,Big East,d1t2,8,4,8,4,9,5,8,7,2,7,8,4,,,,
dartmouth,Dartmouth,D1,Ivy League,d1t3,8,7,2,7,3,5,7,6,3,11,4,4,,,,appearance
davidson,Davidson,D1,Atlantic 10,d1t3,13,3,4,4,11,2,8,8,3,7,7,3,,,,
dayton,Dayton,D1,Atlantic 10,d1t3,16,4,1,13,2,5,14,4,2,15,4,3,,,,appearance
depaul,DePaul,D1,Big East,d1t2,3,12,1,6,7,4,5,8,7,4,12,2,,,,
delaware,Delaware,D1,CUSA,d1t3,2,11,5,5,5,8,6,7,6,10,2,6,,,,
delaware_state,Delaware State,D1,NEC,d1t4,2,14,2,0,15,1,0,17,1,6,10,3,,,,
denver,Denver,D1,West Coast,d1t2,11,4,4,9,2,7,11,6,2,9,5,4,,,,
detroit_mercy,Detroit Mercy,D1,Horizon,d1t3,6,10,1,7,9,3,10,8,2,2,13,3,,,,
drake,Drake,D1,Missouri Valley,d1t3,5,8,6,13,4,3,8,7,6,9,6,4,,,,
drexel,Drexel,D1,CAA,d1t3,11,3,5,7,8,3,4,9,4,3,7,8,,,,
duke,Duke,D1,ACC,d1t1,15,5,3,6,7,3,18,3,1,17,5,1,quarter,,semi,semi
duquesne,Duquesne,D1,Atlantic 10,d1t3,6,7,3,8,8,4,9,7,1,12,5,2,,,,
east_carolina,East Carolina,D1,American,d1t2,8,8,3,9,5,5,10,4,7,6,8,4,,,appearance,
east_tennessee_state,East Tennessee State,D1,Southern,d1t3,5,6,6,11,3,5,4,8,4,9,4,6,,,,
east_texas_a_m,East Texas A&M,D1,Southland,d1t4,9,9,2,9,7,3,9,10,3,7,8,4,,,,
eastern_illinois,Eastern Illinois,D1,Ohio Valley,d1t4,2,6,8,4,9,4,5,8,6,8,8,3,,,,
eastern_kentucky,Eastern Kentucky,D1,UAC,d1t4,9,7,2,5,8,6,12,8,3,10,4,5,,,,
eastern_michigan,Eastern Michigan,D1,MAC,d1t3,3,11,4,1,12,6,7,6,5,6,8,4,,,,
eastern_washington,Eastern Washington,D1,Big Sky,d1t4,5,8,5,2,14,1,9,5,5,8,7,4,,,,
elon,Elon,D1,CAA,d1t3,9,6,3,3,9,5,13,4,1,11,3,7,,,,appearance
evansville,Evansville,D1,Missouri Valley,d1t3,2,9,5,1,7,9,2,7,7,7,7,2,,,,
fiu,FIU,D1,CUSA,d1t3,3,8,4,8,6,4,13,5,2,7,6,4,,,appearance,
fairfield,Fairfield,D1,Metro,d1t3,14,4,0,10,6,4,18,3,1,15,2,2,,,appearance,
fairleigh_dickinson,Fairleigh Dickinson,D1,NEC,d1t4,8,11,3,,,,8,6,6,9,6,5,appearance,,,
florida,Florida,D1,SEC,d1t1,2,14,1,6,5,6,4,8,6,6,7,5,,,,
florida_atlantic,Florida Atlantic,D1,American,d1t2,11,8,3,8,7,5,3,11,4,4,12,3,,,,
florida_gulf_coast,Florida Gulf Coast,D1,ASUN,d1t3,12,6,2,12,5,5,11,6,2,11,5,2,appearance,appearance,,
florida_state,Florida State,D1,ACC,d1t1,17,3,3,22,0,1,15,2,4,16,2,4,semi,champion,r32,champion
fordham,Fordham,D1,Atlantic 10,d1t3,5,11,1,4,10,4,10,5,4,10,7,3,,,,
fresno_state,Fresno State,D1,Pac-12,d1t3,1,14,4,5,9,6,7,9,3,7,6,5,,,,
furman,Furman,D1,Southern,d1t3,8,9,2,7,5,7,10,7,3,10,4,5,,,,
gardner_webb,Gardner-Webb,D1,Big South,d1t3,9,7,5,4,12,2,4,11,4,4,11,3,,,,
george_mason,George Mason,D1,Atlantic 10,d1t3,1,10,7,,,,,,,4,10,4,,,,
george_washington,George Washington,D1,Atlantic 10,d1t3,7,5,6,4,11,3,4,11,3,5,9,4,,,,
georgetown,Georgetown,D1,Big East,d1t2,15,2,5,13,2,7,13,4,4,16,4,3,r32,r32,r32,r16
georgia,Georgia,D1,SEC,d1t1,13,6,3,13,4,6,8,7,6,10,5,6,r32,r16,appearance,appearance
georgia_southern,Georgia Southern,D1,Sun Belt,d1t3,8,4,5,12,6,1,6,11,2,2,10,6,,,,
georgia_state,Georgia State,D1,Sun Belt,d1t3,9,7,5,9,5,6,5,7,7,9,8,2,,,,
gonzaga,Gonzaga,D1,Pac-12,d1t3,10,3,5,14,4,2,10,7,2,8,9,2,,r32,,
grambling_state,Grambling State,D1,SWAC,d1t4,12,8,3,15,5,4,9,8,4,11,7,5,,appearance,,appearance
grand_canyon,Grand Canyon,D1,Mountain West,d1t3,11,7,2,14,5,4,11,6,3,8,8,2,,appearance,,
green_bay,Green Bay,D1,Horizon,d1t3,3,11,2,0,11,5,4,8,5,8,9,4,,,,
hampton,Hampton,D1,CAA,d1t3,1,14,1,,,,3,14,1,5,12,1,,,,
harvard,Harvard,D1,Ivy League,d1t3,12,2,3,13,4,2,7,4,5,5,6,3,r32,r32,,
hawaii,Hawaii,D1,Mountain West,d1t3,6,6,3,5,8,3,12,8,1,4,8,8,,,,
high_point,High Point,D1,Big South,d1t3,5,10,3,6,5,7,9,7,3,5,10,5,,,,appearance
hofstra,Hofstra,D1,CAA,d1t3,10,8,4,12,5,1,8,5,6,6,5,7,appearance,,,
holy_cross,Holy Cross,D1,Patriot,d1t3,2,11,4,5,7,5,5,11,2,6,7,6,,,,
houston,Houston,D1,Big 12,d1t1,6,7,3,8,8,2,4,12,1,7,4,7,,,,
houston_christian,Houston Christian,D1,Southland,d1t4,7,10,3,7,11,0,5,9,5,12,9,2,,,,appearance
howard,Howard,D1,NEC,d1t4,3,11,2,12,6,2,11,5,5,9,7,3,,,appearance,
iu_indy,IU Indy,D1,Horizon,d1t3,9,4,6,11,3,5,5,11,3,4,11,3,,,,
idaho,Idaho,D1,Big Sky,d1t4,12,3,3,12,5,2,12,5,3,6,5,9,,appearance,,
idaho_state,Idaho State,D1,Big Sky,d1t4,3,11,2,4,13,2,2,10,5,5,8,4,,,,
illinois,Illinois,D1,Big Ten,d1t1,7,7,4,6,8,3,8,8,2,13,6,2,,,,appearance
illinois_state,Illinois State,D1,Missouri Valley,d1t3,3,14,1,3,9,4,6,10,4,8,6,8,,,,
incarnate_word,Incarnate Word,D1,Southland,d1t4,3,10,3,6,8,2,8,8,3,4,8,4,,,,
indiana,Indiana,D1,Big Ten,d1t1,3,7,7,12,4,4,6,9,2,5,6,6,,appearance,,
indiana_state,Indiana State,D1,Missouri Valley,d1t3,2,11,3,2,6,10,10,6,5,8,6,6,,,,
iona,Iona,D1,Metro,d1t3,8,7,4,1,15,3,6,10,4,6,10,3,,,,
iowa,Iowa,D1,Big Ten,d1t1,5,6,7,9,4,4,13,2,3,12,5,4,,r32,r16,r32
iowa_state,Iowa State,D1,Big 12,d1t1,3,10,4,6,11,1,3,9,6,4,9,4,,,,
jackson_state,Jackson State,D1,SWAC,d1t4,11,8,1,,,,2,9,5,9,7,3,appearance,,,
jacksonville,Jacksonville,D1,ASUN,d1t3,6,5,5,3,11,4,4,10,4,9,5,5,,,,
