slug,city,state,rank,category,accept,sat_25,sat_75,act_25,grad_rate_4yr,retention,student_faculty_ratio,founded,undergrads
abilene-christian-university-3537,Abilene,TX,329,National Universities,66,1000,1230,,49,80,13,1906,3233
adrian-college-2234,Adrian,MI,30,Regional Colleges Midwest,73,,,21,44,64,15,1859,1673
adelphi-university-2666,Garden City,NY,198,National Universities,66,1120,1320,,57,83,11,1896,5325
albertus-magnus-college-1374,New Haven,CT,98,Regional Universities North,59,,,,42,69,17,1925,1006
alabama-state-university-1005,Montgomery,AL,395-434,National Universities,98,749,967,,15,64,15,1867,3521
adams-state-university-1345,Alamosa,CO,102,Regional Universities West,,,,,16,57,14,,1576
alabama-am-university-1002,Normal,AL,96,Regional Universities South,58,810,1040,,12,63,19,1875,6370
agnes-scott-college-1542,Decatur,GA,67,National Liberal Arts Colleges,62,1160,1340,,66,81,10,1889,843
albion-college-2235,Albion,MI,131,National Liberal Arts Colleges,81,,,,49,72,11,1835,1308
albright-college-3229,Reading,PA,170,National Liberal Arts Colleges,76,,,,42,64,10,1856,1328
alcorn-state-university-2396,Lorman,MS,45,Regional Universities South,45,670,998,,43,78,16,1871,2532
alfred-state-college-suny-2854,Alfred,NY,16,Regional Colleges North,76,990,1200,,43,72,15,1908,3572
alfred-university-2668,Alfred,NY,61,Regional Universities North,74,1095,1310,,44,74,9,1836,1474
allen-university-3417,Columbia,SC,183-201,National Liberal Arts Colleges,73,,,,7,70,16,1870,635
alma-college-2236,Alma,MI,6,Regional Colleges Midwest,57,978,1173,,63,78,9,1886,1159
alvernia-university-3233,Reading,PA,352,National Universities,58,1093,1286,,46,72,13,1958,2192
allegheny-college-3230,Meadville,PA,76,National Liberal Arts Colleges,55,1173,1358,,67,81,8,1815,1171
alverno-college-3832,Milwaukee,WI,84,Regional Universities Midwest,86,,,16,29,70,13,1887,673
american-international-college-2114,Springfield,MA,395-434,National Universities,100,,,,32,66,16,1885,1331
american-university-1434,Washington,DC,88,National Universities,62,1280,1450,,68,88,10,1893,7476
anderson-university-1785,Anderson,IN,78,Regional Universities Midwest,75,900,1160,,48,67,10,1917,1092
amherst-college-2115,Amherst,MA,2,National Liberal Arts Colleges,9,1490,1580,,75,97,7,1821,1914
angelo-state-university-3541,San Angelo,TX,56,Regional Universities West,83,910,1150,,30,71,19,1928,9779
anderson-university-3418,Anderson,SC,31,Regional Universities South,55,1100,1280,,64,83,14,1911,3406
anna-maria-college-2117,Paxton,MA,150-164,Regional Universities North,50,,,,29,66,13,1946,995
appalachian-state-2906,Boone,NC,3,Regional Universities South,90,1120,1280,,59,85,16,1899,19560
