Batch,School,Divisions,Sports,Conference,Current Rating,Current Source,US News Name,US News Rank,US News Category,US News URL,Niche Academics Grade,Niche URL,Status,Notes
1,Abilene Christian,NCAA D1,womens,UAC,,,abilene-christian-university-3537,329,National Universities,https://www.usnews.com/best-colleges/abilene-christian-university-3537,,,done,
1,Air Force,NCAA D1,mens+womens,Mountain West Conference,7.8,rated,united-states-air-force-academy-1369,5,National Liberal Arts Colleges,https://www.usnews.com/best-colleges/united-states-air-force-academy-1369,,,done,
1,Akron,NCAA D1,mens+womens,Big East Conference,5.6,rated,the-university-of-akron-3123,373,National Universities,https://www.usnews.com/best-colleges/the-university-of-akron-3123,,,done,
1,Alabama,NCAA D1,womens,SEC,,,university-of-alabama-1051,169,National Universities,https://www.usnews.com/best-colleges/university-of-alabama-1051,,,done,Tuscaloosa AL — verified not Alabama A&M/State
1,Alabama A&M,NCAA D1,womens,SWAC,,,alabama-am-university-1002,96,Regional Universities South,https://www.usnews.com/best-colleges/alabama-am-university-1002,,,done,Normal AL
1,Alabama State,NCAA D1,womens,SWAC,,,alabama-state-university-1005,,,https://www.usnews.com/best-colleges/alabama-state-university-1005,,,unranked,Montgomery AL — US News lists no rank
1,Albany,NCAA D1,mens+womens,America East Conference,6.2,rated,suny-albany-2835,127,National Universities,https://www.usnews.com/best-colleges/suny-albany-2835,,,done,"Albany NY — UAlbany, not Albany State GA"
1,Alcorn State,NCAA D1,womens,SWAC,,,alcorn-state-university-2396,45,Regional Universities South,https://www.usnews.com/best-colleges/alcorn-state-university-2396,,,done,
1,American,NCAA D1,mens+womens,Patriot League,8.1,rated,american-university-1434,88,National Universities,https://www.usnews.com/best-colleges/american-university-1434,,,done,Washington DC — not American International
1,Appalachian State,NCAA D1,womens,Sun Belt,,,appalachian-state-2906,3,Regional Universities South,https://www.usnews.com/best-colleges/appalachian-state-2906,,,done,
2,Arizona,NCAA D1,womens,Big 12,,,university-of-arizona-1083,127,National Universities,https://www.usnews.com/best-colleges/university-of-arizona-1083,,,done,Tucson AZ — not Arizona State
2,Arizona State,NCAA D1,womens,Big 12,,,arizona-state-university-1081,117,National Universities,https://www.usnews.com/best-colleges/arizona-state-university-1081,,,done,
2,Arkansas,NCAA D1,womens,SEC,7.4,rated-interpolated,university-of-arkansas-1108,183,National Universities,https://www.usnews.com/best-colleges/university-of-arkansas-1108,,,done,Fayetteville AR
2,Arkansas State,NCAA D1,womens,Sun Belt,,,arkansas-state-university-1090,352,National Universities,https://www.usnews.com/best-colleges/arkansas-state-university-1090,,,done,
2,Arkansas-Pine Bluff,NCAA D1,womens,SWAC,,,university-of-arkansas-pine-bluff-1086,19,Regional Colleges South,https://www.usnews.com/best-colleges/university-of-arkansas-pine-bluff-1086,,,done,
2,Army,NCAA D1,womens,Patriot,8.2,rated,united-states-military-academy-2893,10,National Liberal Arts Colleges,https://www.usnews.com/best-colleges/united-states-military-academy-2893,,,done,West Point NY
2,Army West Point,NCAA D1,mens,Patriot League,8.2,rated,united-states-military-academy-2893,10,National Liberal Arts Colleges,https://www.usnews.com/best-colleges/united-states-military-academy-2893,,,done,"same university as the ""Army"" row — dedup candidate"
2,Auburn,NCAA D1,womens,SEC,,,auburn-university-1009,102,National Universities,https://www.usnews.com/best-colleges/auburn-university-1009,,,done,Auburn AL — not Auburn Montgomery
