college_name,season,confirmed_division,data_confidence,total_graduating_seniors,player_name,player_position,player_minutes_played,official_roster_url,notes
Adams State,2025-26,D2,85%,9,Francesco Boscolo Moretto,Defender,1101,https://asugrizzlies.com/sports/mens-soccer/roster,Graduate Student
Adams State,2025-26,D2,85%,9,Tobias Sereinig,Forward,931,https://asugrizzlies.com/sports/mens-soccer/roster,Senior
Adams State,2025-26,D2,85%,9,Corbin Desbouillons,Defender,30,https://asugrizzlies.com/sports/mens-soccer/roster,Senior
Adams State,2025-26,D2,85%,9,John Adu Marfo,Defender,100,https://asugrizzlies.com/sports/mens-soccer/roster,Senior
Adams State,2025-26,D2,85%,9,Avery Richards,Forward,908,https://asugrizzlies.com/sports/mens-soccer/roster,Senior
Adams State,2025-26,D2,85%,9,Justin Lintonsmith,Forward,150,https://asugrizzlies.com/sports/mens-soccer/roster,Redshirt Senior
Adams State,2025-26,D2,85%,9,Frank Angelo Dufitumukiza,Midfielder,358,https://asugrizzlies.com/sports/mens-soccer/roster,Graduate Student
Adams State,2025-26,D2,85%,9,Berend Heijmans,Defender,596,https://asugrizzlies.com/sports/mens-soccer/roster,Senior
Adams State,2025-26,D2,85%,9,Matteo Branger,Midfielder,714,https://asugrizzlies.com/sports/mens-soccer/roster,Graduate Student
Adelphi,2025-26,D2,85%,15,Andrea Farinella,Goalkeeper,0,https://aupanthers.com/sports/mens-soccer/roster,Senior
Adelphi,2025-26,D2,85%,15,Gianluca Intranuovo,Goalkeeper,0,https://aupanthers.com/sports/mens-soccer/roster,Senior
Adelphi,2025-26,D2,85%,15,Joseph Blackton,Defender,1,https://aupanthers.com/sports/mens-soccer/roster,Senior
Adelphi,2025-26,D2,85%,15,Sam Nolan,Midfielder,0,https://aupanthers.com/sports/mens-soccer/roster,Senior
Adelphi,2025-26,D2,85%,15,Gonzalo Gil,Forward,2,https://aupanthers.com/sports/mens-soccer/roster,Senior
Adelphi,2025-26,D2,85%,15,Luca Boast,Midfielder,0,https://aupanthers.com/sports/mens-soccer/roster,Senior
