college_name,season,confirmed_division,data_confidence,total_graduating_seniors,player_name,player_position,player_minutes_played,official_roster_url,notes
Aquinas,2025,NAIA,high,5,Amos Mechtenberg-Berrigan,Defender,,https://aqsaints.com/sports/mens-soccer/roster,Senior
Aquinas,2025,NAIA,high,5,Bryce Schaner,Forward,556,https://aqsaints.com/sports/mens-soccer/roster,Graduate Student
Aquinas,2025,NAIA,high,5,Colin Bailey,Midfielder,289,https://aqsaints.com/sports/mens-soccer/roster,Senior
Aquinas,2025,NAIA,high,5,Gerardo Jose Montanez,Midfielder,708,https://aqsaints.com/sports/mens-soccer/roster,Senior
Aquinas,2025,NAIA,high,5,Joseph Ray,Forward,202,https://aqsaints.com/sports/mens-soccer/roster,Graduate Student
Arizona Christian,2025,NAIA,high,8,Alex Nicula,D/F,66,https://acufirestorm.com/sports/mens-soccer/roster,Senior
Arizona Christian,2025,NAIA,high,8,Edwin Meza,Forward,398,https://acufirestorm.com/sports/mens-soccer/roster,Senior
Arizona Christian,2025,NAIA,high,8,Jacob Burr,Defender,10,https://acufirestorm.com/sports/mens-soccer/roster,Senior
Arizona Christian,2025,NAIA,high,8,Jake Dickinson,Midfielder,997,https://acufirestorm.com/sports/mens-soccer/roster,Senior
Arizona Christian,2025,NAIA,high,8,Jake Underwood,Defender,1683,https://acufirestorm.com/sports/mens-soccer/roster,Senior
Arizona Christian,2025,NAIA,high,8,Jean-Claude Olar,Forward,166,https://acufirestorm.com/sports/mens-soccer/roster,Senior
Arizona Christian,2025,NAIA,high,8,Johnny Navarro,F/MF,36,https://acufirestorm.com/sports/mens-soccer/roster,Senior
Arizona Christian,2025,NAIA,high,8,Marcos Mora,Midfielder,939,https://acufirestorm.com/sports/mens-soccer/roster,Senior
Avila,2025,NAIA,high,8,Brandon Keens,Goalkeeper,,https://www.avilaathletics.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Avila,2025,NAIA,high,8,Daniel Aguilar,D/M,,https://www.avilaathletics.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Avila,2025,NAIA,high,8,Harrison Ennis,Goalkeeper,,https://www.avilaathletics.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Avila,2025,NAIA,high,8,Jesse Simpson,Defender,,https://www.avilaathletics.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Avila,2025,NAIA,high,8,Johnathan Young,Forward,,https://www.avilaathletics.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Avila,2025,NAIA,high,8,Johnnathan Fager,Goalkeeper,,https://www.avilaathletics.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Avila,2025,NAIA,high,8,Malcolm Goswell,Midfielder,,https://www.avilaathletics.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Avila,2025,NAIA,high,8,Robert Davies,Forward,,https://www.avilaathletics.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Abdul Rahman,Forward,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Camden Wiseman,Goalkeeper,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Dominik Foldesi,Defender,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Ethan Everhart,Forward,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Gabriel Bringas,Midfielder,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Garrison Schrag,Defender,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Ian Waindim,Forward,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Iwan Roberts,Midfielder,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Joe Abrahams,Midfielder,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Josh Tiffany,Midfielder,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Julien DeAngelis,Forward,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
Baker,2025,NAIA,high,19,Kaden Keller,Defender,,https://www.bakerwildcats.com/sports/msoc/2025-26/roster,"Senior (stats JS-rendered, minutes unavailable)"
