name,sport,division,conference,nickname,nickname_plural,mascot,primary_color,secondary_color,logo_url,identity_source,identity_notes,conference_champion_2025,conference_champion_name,conference_champion_source,academic_rating,soccer_score
"Adams State",mens-soccer,"NCAA D2",RMAC,Grizzlies,1,"Grizzly bear",#007a53,,https://upload.wikimedia.org/wikipedia/en/a/ae/Adams_State_University_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Adams State University",,,,,5.3,38.32
Adelphi,mens-soccer,"NCAA D2",Northeast-10,Panthers,1,Panther,#4F2C1D,#FFB500,https://upload.wikimedia.org/wikipedia/commons/f/f5/Adelphi_University_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Adelphi University",,,,,6.5,58.45
Adrian,mens-soccer,"NCAA D3",MIAA-D3,Bulldogs,1,Bruiser,#D4AF37,,https://upload.wikimedia.org/wikipedia/commons/6/60/Adrian_college_logo_black.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Adrian College","copied from this school's other-sport row (Adrian College); the article ""Adrian College"" names this institution",,,,6.5,36.16
"Air Force",mens-soccer,"NCAA D1","Mountain West Conference",Falcons,1,,,,,athletics-domain:goairforcefalcons.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""Air Force Academy Athletics - Official Athletics Website"").",,,,7.8,57.61
Akron,mens-soccer,"NCAA D1","Big East Conference",Zips,1,"Zippy the Kangaroo",#041E42,#A89968,https://upload.wikimedia.org/wikipedia/commons/1/16/University_of_Akron_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Akron",,,,,5.6,91.72
"Alabama Huntsville",mens-soccer,"NCAA D2",GSC,Chargers,1,"Charger Blue",#0077C8,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/1/1e/Alabama-Huntsville_UAH_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Alabama in Huntsville",,,,,5.4,54.85
Albany,mens-soccer,"NCAA D1","America East Conference","Great Danes",1,"Great Danes",,,https://upload.wikimedia.org/wikipedia/en/3/3d/Logo_for_the_University_at_Albany_2.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University at Albany",,,,,6.2,67.5
"Albertus Magnus",mens-soccer,"NCAA D3",NAC,Falcons,1,,#003D98,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/1/18/Albertus_magnus_college_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Albertus Magnus College",,,,,6.5,43.78
Albion,mens-soccer,"NCAA D3",MIAA-D3,Britons,1,"Brit the Briton",#4B306A,#FFC845,https://upload.wikimedia.org/wikipedia/commons/e/ec/Albiion_college_full_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Albion College",,,,,6.5,44.0
Albright,mens-soccer,"NCAA D3","MAC Commonwealth",Lions,1,,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Albright_college_penn_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Albright College",,,,,6.5,38.28
