School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Position,Estimated Graduation
Bluefield University,Appalachian Athletic Conference,Sara Cox,Jr.,1099,13,13,USA,"Pulaski, Va.",,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,High,,Forward,2028
Bluefield University,Appalachian Athletic Conference,J'Maia Joseph,Fr.,184,4,1,USA,"Stanford, Va.",,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,High,,Midfielder,2030
Bluefield University,Appalachian Athletic Conference,Ashlyn Newman,Sr.,771,12,10,USA,"Galax, Va.",,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,High,,Forward,2027
Bluefield University,Appalachian Athletic Conference,Sara Dunphy,Jr.,492,7,7,USA,"Culpeper, Va.",,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,High,,Midfielder,2028
Bluefield University,Appalachian Athletic Conference,Allyson Clark,So.,732,10,9,USA,"Anaheim, Calif.",,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,High,,Defender,2029
Bluefield University,Appalachian Athletic Conference,Ireland Hart,Fr.,51,3,0,USA,"Bluefield, Va.",,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,High,,Midfielder,2030
Bluefield University,Appalachian Athletic Conference,Moriah Mingo,So.,1243,15,14,USA,"San Diego, Calif.",,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,High,,Midfielder,2029
Bluefield University,Appalachian Athletic Conference,Lucy Nicely,Sr.,318,9,1,USA,"Clifton Forge, Va.",,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,High,,Midfielder,2027
Bluefield University,Appalachian Athletic Conference,Hazel Parlett,So.,834,11,10,USA,"Luray, Va.",,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,High,,Midfielder,2029
Bluefield University,Appalachian Athletic Conference,Emily Spaulding,So.,320,6,6,USA,"Bluefield, Va.",,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,High,,Midfielder,2029
Bluefield University,Appalachian Athletic Conference,Analee Woodson,,1220,15,15,,,,https://burams.com/sports/womens-soccer/stats/2025,https://burams.com/sports/womens-soccer/roster/2025,Needs Review,"stats-page player not found on roster page (name mismatch or transfer/departure); No position data published by school (verified: roster table, player cards, bio pages, and stats pages all checked); No class/year data published by school (verified: roster table, player cards, and bio pages all checked)",,
